,token,orientation,orientation_covariance,angular_velocity,angular_velocity_covariance,linear_acceleration,linear_acceleration_covariance
31,376,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02343581759269729, 0.015712650431467506, -0.0111852765783328]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.086191259765625, -3.404554760742187, 9.323021264648437]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
32,377,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022237395102161637, 0.01691107292200316, -0.0111852765783328]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.18435352783203124, -3.4668040039062498, 9.270348828125]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
33,378,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.023968449810713145, 0.02024002428460221, -0.0038615835806148956]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.08858546142578125, -3.4644098022460934, 9.208099584960937]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
34,379,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01824265346704278, 0.025566346464760685, -0.010519486305812991]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.05027823486328125, -3.497928625488281, 9.13627353515625]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
35,380,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02037318233910617, 0.017576863194522972, -0.007856325215733753]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.040701428222656245, -3.4931402221679684, 9.22485899658203]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
36,381,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022104237047657675, 0.01824265346704278, -0.01251685712337242]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.1005564697265625, -3.4811692138671875, 9.107543115234375]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
37,382,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01890844373956259, 0.023835291756209184, -0.011851066850852611]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.011971008300781249, -3.3710359375, 9.222464794921875]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
38,383,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02343581759269729, 0.020506340393610132, -0.008655273542757524]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.055066638183593745, -3.342305517578125, 9.411606726074218]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
39,384,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02316950148368937, 0.01478054404993977, -0.01344896350490015]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.009576806640625, -3.342305517578125, 9.430760339355468]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
40,385,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.019973708175594285, 0.019307917903074477, -0.01265001517787638]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.023942016601562498, -3.277662072753906, 9.26316622314453]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
41,386,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021172130666129944, 0.01251685712337242, -0.010253170196805066]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06464344482421874, -3.42849677734375, 9.167398156738281]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
42,387,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02356897564720126, 0.014913702104443732, -0.012117382959860534]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.16519991455078123, -3.4572271972656248, 9.198522778320312]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
43,388,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.023835291756209184, 0.01744370514001901, -0.011984224905356573]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.1580173095703125, -3.4955344238281247, 9.251195214843749]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
44,389,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021305288720633905, 0.018375811521546742, -0.010120012142301104]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.06943184814453125, -3.450044592285156, 9.188945971679686]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
45,390,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021038972611625982, 0.02170476288414579, -0.009853696033293181]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.11731588134765625, -3.4859576171874997, 9.184157568359375]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
46,391,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.01744370514001901, 0.02157160482964183, -0.0111852765783328]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.086191259765625, -3.421314172363281, 9.129090930175781]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
47,392,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.02676476895529634, 0.017710021249026934, -0.007590009106725828]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.009576806640625, -3.469198205566406, 9.153032946777342]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
48,393,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.021172130666129944, 0.021971078993153714, -0.010918960469324876]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.07900865478515624, -3.3973721557617185, 9.392453112792968]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
49,394,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022636869265673522, 0.02077265650261806, 0.0007989483270237714]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[0.011971008300781249, -3.306392492675781, 9.37808790283203]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
50,395,"[0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.022104237047657675, 0.01691107292200316, -0.006125270507182248]","[0.0006, 0.0, 0.0, 0.0, 0.0006, 0.0, 0.0, 0.0, 0.0006]","[-0.02154781494140625, -3.2920272827148436, 9.337386474609374]","[0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01]"
